GOR10CD,GOR10CDO,GOR10NM,GOR10NMW,pcd_sector,rgn,nPostcodes
"",,,,AB11,"",1
"",,,,AB23,"",4
"",,,,AB25,"",5
"",,,,AB31,"",4
"",,,,AB39,"",1
"",,,,AB41,"",1
"",,,,AB42,"",4
"",,,,AB43,"",2
"",,,,AB45,"",1
"",,,,AB51,"",9
"",,,,AB54,"",2
"",,,,AB55,"",2
"",,,,AB56,"",1
"",,,,AB9,"",1
"",,,,AB99,"",4
"",,,,AL1,"",19
"",,,,AL10,"",2
"",,,,AL5,"",1
"",,,,AL7,"",17
"",,,,B13,"",1
"",,,,B16,"",5
"",,,,B18,"",4
"",,,,B21,"",1
"",,,,B23,"",2
"",,,,B25,"",1
"",,,,B30,"",1
"",,,,B32,"",1
"",,,,B42,"",2
"",,,,B49,"",1
"",,,,B50,"",1
"",,,,B60,"",1
"",,,,B62,"",3
"",,,,B70,"",4
"",,,,B73,"",2
"",,,,BA11,"",8
"",,,,BA12,"",8
"",,,,BA13,"",11
"",,,,BA3,"",6
"",,,,BA5,"",6
"",,,,BA6,"",11
"",,,,BA9,"",4
"",,,,BB18,"",3
"",,,,BB3,"",1
"",,,,BD13,"",14
"",,,,BD16,"",11
"",,,,BD18,"",19
"",,,,BD19,"",13
"",,,,BD21,"",20
"",,,,BD23,"",2
"",,,,BD5,"",32
"",,,,BD98,"",12
"",,,,BH1,"",14
"",,,,BH11,"",2
"",,,,BH12,"",1
"",,,,BH15,"",16
"",,,,BH20,"",14
"",,,,BH21,"",23
"",,,,BH22,"",2
"",,,,BH23,"",12
"",,,,BH25,"",3
"",,,,BH31,"",1
"",,,,BN10,"",1
"",,,,BN12,"",2
"",,,,BN15,"",1
"",,,,BN18,"",2
"",,,,BN21,"",10
"",,,,BN24,"",1
"",,,,BN25,"",1
"",,,,BN26,"",3
"",,,,BN27,"",1
"",,,,BN3,"",1
"",,,,BN41,"",2
"",,,,BN43,"",1
"",,,,BN5,"",2
"",,,,BN50,"",19
"",,,,BN51,"",3
"",,,,BN52,"",6
"",,,,BN6,"",1
"",,,,BN7,"",22
"",,,,BN9,"",2
"",,,,BN91,"",1
"",,,,BR4,"",9
"",,,,BR6,"",34
"",,,,BR7,"",6
"",,,,BR8,"",2
"",,,,BR98,"",5
"",,,,BS1,"",35
"",,,,BS15,"",17
"",,,,BS16,"",16
"",,,,BS2,"",3
"",,,,BS20,"",8
"",,,,BS23,"",2
"",,,,BS27,"",4
"",,,,BS3,"",9
"",,,,BS34,"",19
"",,,,BS36,"",7
"",,,,BS37,"",10
"",,,,BS38,"",5
"",,,,BS4,"",1
"",,,,BS48,"",9
"",,,,BS5,"",1
"",,,,BS6,"",6
"",,,,BS8,"",3
"",,,,BS9,"",21
"",,,,BS99,"",2
"",,,,BT1,"",442
"",,,,BT10,"",73
"",,,,BT11,"",5
"",,,,BT12,"",6
"",,,,BT13,"",49
"",,,,BT14,"",5
"",,,,BT15,"",9
"",,,,BT16,"",4
"",,,,BT17,"",4
"",,,,BT18,"",39
"",,,,BT19,"",13
"",,,,BT2,"",8
"",,,,BT20,"",127
"",,,,BT21,"",2
"",,,,BT22,"",5
"",,,,BT23,"",118
"",,,,BT24,"",2
"",,,,BT26,"",2
"",,,,BT27,"",13
"",,,,BT28,"",130
"",,,,BT29,"",1
"",,,,BT3,"",7
"",,,,BT30,"",49
"",,,,BT32,"",56
"",,,,BT33,"",5
"",,,,BT34,"",12
"",,,,BT35,"",96
"",,,,BT36,"",100
"",,,,BT37,"",4
"",,,,BT38,"",65
"",,,,BT39,"",23
"",,,,BT4,"",89
"",,,,BT40,"",56
"",,,,BT41,"",17
"",,,,BT42,"",104
"",,,,BT43,"",5
"",,,,BT44,"",1
"",,,,BT45,"",45
"",,,,BT46,"",3
"",,,,BT47,"",17
"",,,,BT48,"",53
"",,,,BT49,"",5
"",,,,BT5,"",121
"",,,,BT52,"",70
"",,,,BT53,"",8
"",,,,BT55,"",1
"",,,,BT56,"",4
"",,,,BT57,"",1
"",,,,BT58,"",14
"",,,,BT6,"",14
"",,,,BT60,"",2
"",,,,BT61,"",51
"",,,,BT62,"",8
