MSOA11CD,MSOA11NM,MSOACode,MSOAName,nEPCs,sumEPC_tCO2,n_epcIsSocialRent,n_epcIsPrivateRent,n_epcIsOwnerOcc,n_epcIsUnknownTenure,sumEpcMWh,date,geography,geography code,Rural Urban,Tenure: All households; measures: Value,Tenure: Owned; measures: Value,Tenure: Owned: Owned outright; measures: Value,Tenure: Owned: Owned with a mortgage or loan; measures: Value,Tenure: Shared ownership (part owned and part rented); measures: Value,Tenure: Social rented; measures: Value,Tenure: Social rented: Rented from council (Local Authority); measures: Value,Tenure: Social rented: Other; measures: Value,Tenure: Private rented; measures: Value,Tenure: Private rented: Private landlord or letting agency; measures: Value,Tenure: Private rented: Other; measures: Value,Tenure: Living rent free; measures: Value,census2011_socialRent,census2011_privateRent,census2011_ownerOccupy,census2011_other,hhCheck,nHHs_tenure,i.date,i.geography,i.geography code,i.Rural Urban,Household Deprivation: All categories: Classification of household deprivation; measures: Value,Household Deprivation: Household is not deprived in any dimension; measures: Value,Household Deprivation: Household is deprived in 1 dimension; measures: Value,Household Deprivation: Household is deprived in 2 dimensions; measures: Value,Household Deprivation: Household is deprived in 3 dimensions; measures: Value,Household Deprivation: Household is deprived in 4 dimensions; measures: Value,totalHouseholds,LAName,nHHs_deprivation,nGasMeters,beisGasMWh,nElecMeters,beisElecMWh,i.LAName,beisEnergyMWh,dep0_pc,socRent_pc,privRent_pc,ownerOcc_pc
E02003549,Southampton 001,E02003549,Southampton 001,1737,7361.5,156,502,966,49,41619.533339,2011,Southampton 001,E02003549,Total,2849,1768,920,848,19,320,234,86,714,569,145,28,320,714,1768,28,2830,2849,2011,Southampton 001,E02003549,Total,2849,1492,937,349,66,5,2849,Southampton,2849,2557,38480.92752,2832,11196.00524,Southampton,49676.93276,52.3692523692524,11.2320112320112,25.0614250614251,62.0568620568621
E02003550,Southampton 002,E02003550,Southampton 002,1923,6430,425,288,1093,79,36493.872299,2011,Southampton 002,E02003550,Total,3216,2125,866,1259,38,677,527,150,355,321,34,21,677,355,2125,21,3178,3216,2011,Southampton 002,E02003550,Total,3216,1386,1059,585,169,17,3216,Southampton,3216,2876,28049.7336,3527,13074.44004,Southampton,41124.17364,43.0970149253731,21.0509950248756,11.0385572139303,66.0758706467662
E02003551,Southampton 003,E02003551,Southampton 003,1445,4763,587,274,512,36,27436.578892,2011,Southampton 003,E02003551,Total,2256,969,445,524,38,879,290,589,345,300,45,25,879,345,969,25,2218,2256,2011,Southampton 003,E02003551,Total,2256,760,767,519,187,23,2256,Southampton,2256,1649,17358.86876,2446,8957.742376,Southampton,26316.611136,33.6879432624114,38.9627659574468,15.2925531914894,42.9521276595745
E02003552,Southampton 004,E02003552,Southampton 004,1653,5254.3,771,182,644,4,30104.336464,2011,Southampton 004,E02003552,Total,2646,1084,339,745,17,1256,1056,200,245,217,28,44,1256,245,1084,44,2629,2646,2011,Southampton 004,E02003552,Total,2646,744,847,775,262,18,2646,Southampton,2646,2009,17667.11557,2809,10383.88947,Southampton,28051.00504,28.1179138321996,47.4678760393046,9.25925925925926,40.9674981103553
E02003553,Southampton 005,E02003553,Southampton 005,1686,5646,290,820,482,41,31930.489821,2011,Southampton 005,E02003553,Total,2394,766,361,405,20,609,528,81,964,917,47,35,609,964,766,35,2374,2394,2011,Southampton 005,E02003553,Total,2394,934,789,476,167,28,2394,Southampton,2394,2303,24996.91283,2464,8479.992667,Southampton,33476.905497,39.0142021720969,25.4385964912281,40.2673350041771,31.9966583124478
E02003554,Southampton 006,E02003554,Southampton 006,1683,6261.2,249,455,892,43,35573.157615,2011,Southampton 006,E02003554,Total,2646,1667,868,799,11,385,309,76,557,520,37,26,385,557,1667,26,2635,2646,2011,Southampton 006,E02003554,Total,2646,1230,857,457,93,9,2646,Southampton,2646,2378,29664.70715,2873,10048.0605,Southampton,39712.76765,46.4852607709751,14.5502645502646,21.0506424792139,63.0007558578987
E02003555,Southampton 007,E02003555,Southampton 007,2258,6179.8,540,244,1084,130,35186.085286,2011,Southampton 007,E02003555,Total,3140,1763,760,1003,18,972,831,141,350,325,25,37,972,350,1763,37,3122,3140,2011,Southampton 007,E02003555,Total,3140,1086,1065,743,228,18,3140,Southampton,3140,2989,27670.86288,3763,12745.97142,Southampton,40416.8343,34.5859872611465,30.9554140127389,11.1464968152866,56.1464968152866
E02003556,Southampton 008,E02003556,Southampton 008,1321,4880.3,177,282,776,5,27501.2393712,2011,Southampton 008,E02003556,Total,2471,1740,811,929,9,309,232,77,399,371,28,14,309,399,1740,14,2462,2471,2011,Southampton 008,E02003556,Total,2471,1052,853,434,111,21,2471,Southampton,2471,2295,26412.36043,2589,9199.673127,Southampton,35612.033557,42.5738567381627,12.5050586806961,16.1473087818697,70.4168352893565
E02003557,Southampton 009,E02003557,Southampton 009,2137,8330.9,122,979,920,10,47067.974377,2011,Southampton 009,E02003557,Total,2753,1445,839,606,8,203,50,153,1073,1007,66,24,203,1073,1445,24,2745,2753,2011,Southampton 009,E02003557,Total,2753,1398,909,370,71,5,2753,Southampton,2753,2354,32057.76788,3103,10784.46184,Southampton,42842.22972,50.7809662186705,7.37377406465674,38.9756629131856,52.4881946966945
E02003558,Southampton 010,E02003558,Southampton 010,2216,6682.8,641,612,756,85,38568.3928412,2011,Southampton 010,E02003558,Total,2924,1164,495,669,28,945,718,227,755,708,47,32,945,755,1164,32,2896,2924,2011,Southampton 010,E02003558,Total,2924,993,1009,691,208,23,2924,Southampton,2924,2294,23530.15475,3222,10891.83831,Southampton,34421.99306,33.9603283173735,32.3187414500684,25.8207934336525,39.8084815321477
